mag,n_truth,n_recovered,efficiency,type
23.0,10,5,0.5,stars
23.15,10,5,0.5,stars
23.3,10,5,0.5,stars
23.45,10,8,0.8,stars
23.6,10,7,0.7,stars
23.75,10,5,0.5,stars
23.9,10,6,0.6,stars
24.05,10,8,0.8,stars
24.2,10,7,0.7,stars
24.35,10,6,0.6,stars
24.5,10,6,0.6,stars
24.65,10,4,0.4,stars
24.8,10,0,0.0,stars
24.95,10,0,0.0,stars
25.1,10,0,0.0,stars
25.25,10,0,0.0,stars
25.4,10,0,0.0,stars
25.55,10,0,0.0,stars
25.7,10,0,0.0,stars
25.85,10,0,0.0,stars
26.0,10,0,0.0,stars
23.0,10,8,0.8,galaxies
23.15,10,7,0.7,galaxies
23.3,10,7,0.7,galaxies
23.45,10,6,0.6,galaxies
23.6,10,7,0.7,galaxies
23.75,10,7,0.7,galaxies
23.9,10,2,0.2,galaxies
24.05,10,5,0.5,galaxies
24.2,10,0,0.0,galaxies
24.35,10,0,0.0,galaxies
24.5,10,0,0.0,galaxies
24.65,10,0,0.0,galaxies
24.8,10,0,0.0,galaxies
24.95,10,0,0.0,galaxies
25.1,10,0,0.0,galaxies
25.25,10,0,0.0,galaxies
25.4,10,0,0.0,galaxies
25.55,10,0,0.0,galaxies
25.7,10,0,0.0,galaxies
25.85,10,0,0.0,galaxies
26.0,10,0,0.0,galaxies
