mag,n_truth,n_recovered,efficiency,type
23.0,10,9,0.9,stars
23.15,10,8,0.8,stars
23.3,10,8,0.8,stars
23.45,10,8,0.8,stars
23.6,10,10,1.0,stars
23.75,10,9,0.9,stars
23.9,10,7,0.7,stars
24.05,10,7,0.7,stars
24.2,10,8,0.8,stars
24.35,10,8,0.8,stars
24.5,10,9,0.9,stars
24.65,10,9,0.9,stars
24.8,10,2,0.2,stars
24.95,10,2,0.2,stars
25.1,10,1,0.1,stars
25.25,10,0,0.0,stars
25.4,10,0,0.0,stars
25.55,10,0,0.0,stars
25.7,10,0,0.0,stars
25.85,10,0,0.0,stars
26.0,10,0,0.0,stars
23.0,10,7,0.7,galaxies
23.15,10,8,0.8,galaxies
23.3,10,10,1.0,galaxies
23.45,10,9,0.9,galaxies
23.6,10,8,0.8,galaxies
23.75,10,9,0.9,galaxies
23.9,10,7,0.7,galaxies
24.05,10,4,0.4,galaxies
24.2,10,0,0.0,galaxies
24.35,10,0,0.0,galaxies
24.5,10,0,0.0,galaxies
24.65,10,0,0.0,galaxies
24.8,10,0,0.0,galaxies
24.95,10,0,0.0,galaxies
25.1,10,0,0.0,galaxies
25.25,10,0,0.0,galaxies
25.4,10,0,0.0,galaxies
25.55,10,0,0.0,galaxies
25.7,10,0,0.0,galaxies
25.85,10,0,0.0,galaxies
26.0,10,0,0.0,galaxies
